Zip,City,County,Type,Area,2011,2012,2013,2014,2015,2016,2017
78745,Austin,Travis County,Suburban,South,152910.56,154148.44,156022.55,158441.20,161986.84,166688.75,172253.17
78746,Austin,Travis County,Suburban,West,554360.56,556767.19,561798.04,569350.46,577975.00,588975.42,601979.76
78747,Austin,Travis County,Suburban,South,157347.22,157723.44,158543.14,159973.61,162109.21,164895.83,168269.84
78748,Austin,Travis County,Suburban,South,171917.22,172685.94,173943.14,176026.85,179066.67,182925.00,187001.19
78749,Austin,Travis County,Suburban,South,218948.89,219933.33,221881.37,224762.04,228485.96,233100.00,238550.79
78750,Austin,Travis County,Suburban,West,263381.11,264496.35,265999.51,268575.46,272515.35,277439.17,282987.30
78751,Austin,Travis County,Urban,Central,243661.67,246007.81,249067.16,252773.61,258535.96,265399.58,272266.67
78752,Austin,Travis County,Urban,Central,151844.44,153619.27,155852.94,158631.48,162318.42,168063.33,174839.29
78753,Austin,Travis County,Suburban,North,127092.78,127214.06,127938.24,129220.83,131232.46,134329.58,138384.13
78754,Austin,Travis County,Suburban,North,154807.78,154947.92,155718.14,157104.63,158971.05,161655.83,165078.57
78756,Austin,Travis County,Urban,Central,285680.00,288033.85,291324.51,296690.28,303532.46,310506.67,317701.19
78757,Austin,Travis County,Urban,Central,226716.11,229214.06,232507.35,237074.54,242887.28,249822.08,257233.33
78758,Austin,Travis County,Suburban,North,132487.78,132670.83,133483.33,135059.26,137432.46,141390.83,146266.67
78759,Austin,Travis County,Suburban,North,262702.78,264272.40,266435.29,270142.59,275469.30,281798.33,288340.08
78957,Smithville,Bastrop County,Rural,East,77788.89,78559.38,79349.02,80602.31,82083.77,84086.25,86602.38
