Zip,City,County,Type,Area,Value,Year
78642,Liberty Hill,Williamson County,Suburban,North,227993.86,2015
78642,Liberty Hill,Williamson County,Suburban,North,232017.08,2016
78642,Liberty Hill,Williamson County,Suburban,North,237365.48,2017
78644,Lockhart,Caldwell County,Rural,South,92184.44,2011
78644,Lockhart,Caldwell County,Rural,South,92981.77,2012
78644,Lockhart,Caldwell County,Rural,South,93864.22,2013
78644,Lockhart,Caldwell County,Rural,South,95004.17,2014
78644,Lockhart,Caldwell County,Rural,South,96321.93,2015
78644,Lockhart,Caldwell County,Rural,South,97872.92,2016
78644,Lockhart,Caldwell County,Rural,South,99840.48,2017
78645,Lago Vista,Travis County,Suburban,West,168929.44,2011
78645,Lago Vista,Travis County,Suburban,West,169408.33,2012
78645,Lago Vista,Travis County,Suburban,West,170341.18,2013
78645,Lago Vista,Travis County,Suburban,West,171487.04,2014
78645,Lago Vista,Travis County,Suburban,West,173409.65,2015
78645,Lago Vista,Travis County,Suburban,West,175819.17,2016
78645,Lago Vista,Travis County,Suburban,West,179467.06,2017
78648,Luling,Caldwell County,Rural,South,57609.44,2011
78648,Luling,Caldwell County,Rural,South,58555.21,2012
78648,Luling,Caldwell County,Rural,South,59588.24,2013
78648,Luling,Caldwell County,Rural,South,60795.83,2014
78648,Luling,Caldwell County,Rural,South,62201.75,2015
78648,Luling,Caldwell County,Rural,South,63763.33,2016
78648,Luling,Caldwell County,Rural,South,65507.54,2017
78652,San Leanna,Travis County,Suburban,South,173421.67,2011
78652,San Leanna,Travis County,Suburban,South,174557.29,2012
78652,San Leanna,Travis County,Suburban,South,176201.96,2013
78652,San Leanna,Travis County,Suburban,South,178657.41,2014
78652,San Leanna,Travis County,Suburban,South,182007.02,2015
78652,San Leanna,Travis County,Suburban,South,186942.92,2016
78652,San Leanna,Travis County,Suburban,South,192636.51,2017
78653,Manor,Travis County,Suburban,East,132725.56,2011
78653,Manor,Travis County,Suburban,East,132582.81,2012
78653,Manor,Travis County,Suburban,East,133012.75,2013
78653,Manor,Travis County,Suburban,East,133803.24,2014
78653,Manor,Travis County,Suburban,East,135073.68,2015
78653,Manor,Travis County,Suburban,East,137208.33,2016
