Zip,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index,Year,City
78628,23269,16.8,77.6,2.3,0,1.4,1.9,100,0.368514,2011,Georgetown
78628,23288,17.7,77.5,2.4,0,1.2,1.3,100.1,0.367157,2012,Georgetown
78628,24603,17.1,78.2,2.3,0,1.1,1.3,100,0.358416,2013,Georgetown
78628,24856,15.4,79.4,3.4,0,0.6,1.2,100,0.344512,2014,Georgetown
78628,26544,13.5,79.8,4,0,0.9,1.8,100,0.342966,2015,Georgetown
78628,27637,15.1,80.1,2.7,0,0.9,1.2,100,0.334644,2016,Georgetown
78628,30322,15.1,78.9,2.4,0.2,0.8,2.6,100,0.353358,2017,Georgetown
78633,17181,5.3,93.2,0.3,0.3,0.6,0.3,100,0.128504,2011,Georgetown
78633,17556,4.7,93.2,0.6,0.4,0.6,0.4,99.9,0.129063,2012,Georgetown
78633,18462,4.8,92.4,0.7,0.4,1.3,0.3,99.9,0.143677,2013,Georgetown
78633,19593,5,92,0.8,0.5,1.2,0.3,99.8,0.150858,2014,Georgetown
78633,21980,4.5,92.4,1,0.3,1.4,0.4,100,0.143878,2015,Georgetown
78633,23369,5.4,91.3,1.1,0.5,1.1,0.6,100,0.163212,2016,Georgetown
78633,24727,6,90.2,0.9,0.5,1.4,1.1,100.1,0.182373,2017,Georgetown
78634,21778,31.9,54.7,11.2,0.1,0.3,1.8,100,0.586152,2011,Hutto
78634,22731,31.8,55.9,10.7,0.1,0.3,1.2,100,0.574792,2012,Hutto
78634,24306,29.5,54.2,14.3,0,0.4,1.6,100,0.59849,2013,Hutto
78634,25421,32.7,53.1,11.7,0,0.4,2.1,100,0.596964,2014,Hutto
78634,26701,30.4,55.3,11.6,0,0.7,2,100,0.58787,2015,Hutto
78634,28479,30.7,53.4,11.9,0.2,2.1,1.7,100,0.6057,2016,Hutto
78634,29770,32.2,50.8,12.9,0.1,1.7,2.3,100,0.620792,2017,Hutto
78640,40699,56.4,36.9,4.3,0.2,1.2,1.2,100.2,0.543602,2011,Kyle
78640,42080,55.8,37.5,4.5,0.2,1,1,100,0.545782,2012,Kyle
78640,43427,53,39.2,5.7,0.2,0.8,1,99.9,0.562019,2013,Kyle
78640,45136,52.8,39.6,5.6,0.2,0.6,1.2,100,0.56108,2014,Kyle
78640,45772,51.2,41.8,4.8,0.1,0.6,1.4,99.9,0.560595,2015,Kyle
78640,48804,50.7,41.9,5,0.2,0.5,1.7,100,0.564572,2016,Kyle
78640,52981,53.8,39.8,4.1,0.2,0.6,1.5,100,0.550206,2017,Kyle
78641,43655,20,73.4,3.1,0.2,1.8,1.6,100.1,0.419699,2011,Leander
78641,47490,22.7,70.3,3.4,0.1,1.9,1.6,100,0.452488,2012,Leander
78641,48854,24.1,68.8,2.8,0.2,1.9,2.1,99.9,0.466985,2013,Leander
78641,51247,25.3,67.5,2.6,0.4,1.8,2.5,100.1,0.478725,2014,Leander
