,Zip,City,County,Type,Area,Value,Year,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index
203,78681,Round Rock,Williamson County,Suburban,North,194997.22,2011,51409,19.4,65.7,4.2,0.9,7.0,2.9,100.1,0.523129
204,78681,Round Rock,Williamson County,Suburban,North,195497.4,2012,53229,18.8,66.2,4.2,0.7,7.4,2.7,100.0,0.5183939999999999
205,78681,Round Rock,Williamson County,Suburban,North,196628.92,2013,54141,19.2,64.8,4.6,0.6,7.6,3.1,99.9,0.534343
206,78681,Round Rock,Williamson County,Suburban,North,199030.56,2014,54517,20.0,64.9,4.4,0.5,7.3,2.9,100.0,0.530668
207,78681,Round Rock,Williamson County,Suburban,North,201955.7,2015,54923,20.8,63.6,4.7,0.5,7.4,3.0,100.0,0.5436300000000001
208,78681,Round Rock,Williamson County,Suburban,North,205481.25,2016,56086,20.9,62.7,5.3,0.1,8.0,2.9,99.9,0.553139
209,78681,Round Rock,Williamson County,Suburban,North,209401.19,2017,57234,22.7,60.1,4.8,0.2,9.0,3.3,100.1,0.575773
210,78701,Austin,Travis County,Urban,Central,247179.44,2011,5084,12.0,73.1,7.6,0.0,6.6,0.7,100.0,0.441058
211,78701,Austin,Travis County,Urban,Central,248615.1,2012,5642,14.1,70.3,5.7,0.0,8.0,1.9,100.0,0.4759
212,78701,Austin,Travis County,Urban,Central,250772.55,2013,5915,13.8,70.7,5.2,0.0,7.7,2.6,100.0,0.47179799999999994
213,78701,Austin,Travis County,Urban,Central,254295.37,2014,6188,14.5,68.4,4.9,0.0,9.5,2.6,99.9,0.499017
214,78701,Austin,Travis County,Urban,Central,259944.74,2015,7051,14.1,69.3,3.8,0.2,9.4,3.2,100.0,0.488562
215,78701,Austin,Travis County,Urban,Central,265472.5,2016,7401,13.4,72.1,3.1,0.2,8.4,2.8,100.0,0.45339799999999997
216,78701,Austin,Travis County,Urban,Central,271194.05,2017,7875,15.8,71.8,4.2,0.3,6.6,1.2,99.9,0.45323900000000006
217,78702,Austin,Travis County,Urban,Central,193546.11,2011,20643,56.0,25.4,15.6,0.0,1.8,1.2,100.0,0.59708
218,78702,Austin,Travis County,Urban,Central,195803.12,2012,21032,56.3,25.7,15.2,0.0,1.6,1.2,100.0,0.593478
219,78702,Austin,Travis County,Urban,Central,198797.55,2013,21655,55.6,27.2,14.1,0.1,1.1,1.8,99.9,0.596553
220,78702,Austin,Travis County,Urban,Central,203351.39,2014,21855,53.4,29.9,13.5,0.1,1.2,1.9,100.0,0.606712
221,78702,Austin,Travis County,Urban,Central,209385.96,2015,21477,50.7,32.2,12.9,0.1,2.1,1.9,99.9,0.6218229999999999
222,78702,Austin,Travis County,Urban,Central,216793.33,2016,22617,50.6,33.0,12.7,0.0,1.8,1.9,100.0,0.61825
223,78702,Austin,Travis County,Urban,Central,224923.81,2017,22876,47.0,36.4,12.5,0.0,1.9,2.2,100.0,0.630134
224,78703,Austin,Travis County,Urban,Central,449850.0,2011,19579,9.4,81.4,1.2,1.1,4.8,2.0,99.9,0.32559899999999997
225,78703,Austin,Travis County,Urban,Central,451182.81,2012,19873,9.1,81.7,1.8,0.9,4.7,1.9,100.1,0.321255
226,78703,Austin,Travis County,Urban,Central,454168.63,2013,19860,8.2,83.1,1.6,0.7,4.4,2.1,100.1,0.300033
227,78703,Austin,Travis County,Urban,Central,460047.69,2014,20061,8.4,81.2,1.5,0.7,6.1,2.1,100.0,0.329164
228,78703,Austin,Travis County,Urban,Central,469581.14,2015,20530,9.1,80.2,1.4,0.5,6.5,2.3,100.0,0.34354
229,78703,Austin,Travis County,Urban,Central,482262.5,2016,20815,8.6,81.5,1.2,0.1,7.1,1.5,100.0,0.322968
230,78703,Austin,Travis County,Urban,Central,495871.03,2017,20788,6.7,83.7,0.6,0.1,8.0,1.1,100.2,0.28838400000000003
231,78704,Austin,Travis County,Urban,Central,294645.56,2011,41616,31.0,61.4,3.9,0.4,1.3,1.9,99.9,0.524837
232,78704,Austin,Travis County,Urban,Central,296928.65,2012,41709,29.6,63.3,3.3,0.3,1.7,1.8,100.0,0.509984
233,78704,Austin,Travis County,Urban,Central,301327.45,2013,41999,26.6,66.1,3.2,0.2,1.6,2.2,99.9,0.490555
234,78704,Austin,Travis County,Urban,Central,307261.11,2014,42770,26.5,66.9,2.6,0.2,1.8,1.9,99.9,0.48084899999999997
235,78704,Austin,Travis County,Urban,Central,314887.72,2015,44668,26.7,65.8,2.8,0.1,2.6,1.9,99.9,0.493925
236,78704,Austin,Travis County,Urban,Central,322679.17,2016,46474,26.8,65.8,2.6,0.1,2.7,2.1,100.1,0.49336499999999994
237,78704,Austin,Travis County,Urban,Central,330286.9,2017,47158,26.1,65.5,3.0,0.3,3.0,2.1,100.0,0.500604
238,78705,Austin,Travis County,Urban,Central,154054.44,2011,29247,14.8,64.1,3.2,0.1,15.9,1.9,100.0,0.5405479999999999
239,78705,Austin,Travis County,Urban,Central,155073.96,2012,30532,17.1,62.3,2.9,0.1,15.3,2.3,100.0,0.55785
240,78705,Austin,Travis County,Urban,Central,156463.24,2013,31282,17.3,61.5,4.0,0.1,14.5,2.7,100.1,0.568491
241,78705,Austin,Travis County,Urban,Central,158548.61,2014,31735,18.6,59.9,4.4,0.1,14.4,2.6,100.0,0.583254
242,78705,Austin,Travis County,Urban,Central,161294.74,2015,32346,17.7,60.3,5.0,0.3,13.9,2.8,100.0,0.582448
243,78705,Austin,Travis County,Urban,Central,165332.5,2016,32414,17.8,58.9,6.1,0.2,13.8,3.1,99.9,0.597665
244,78705,Austin,Travis County,Urban,Central,169250.79,2017,33075,17.1,57.8,6.8,0.3,14.8,3.2,100.0,0.609114
245,78717,Austin,Travis County,Suburban,North,232370.0,2011,22278,12.5,62.5,5.0,0.0,17.1,2.7,99.8,0.56128
246,78717,Austin,Travis County,Suburban,North,233046.35,2012,23514,13.9,60.9,4.3,0.0,18.0,3.0,100.1,0.574649
247,78717,Austin,Travis County,Suburban,North,234789.22,2013,24099,13.2,63.3,4.0,0.0,16.5,3.0,100.0,0.552162
248,78717,Austin,Travis County,Suburban,North,237697.22,2014,25427,13.0,61.8,3.0,0.0,19.1,3.1,100.0,0.5628340000000001
249,78717,Austin,Travis County,Suburban,North,241010.09,2015,26072,13.5,59.2,3.3,0.0,20.4,3.6,100.0,0.58731
250,78717,Austin,Travis County,Suburban,North,245119.17,2016,27101,13.9,59.0,2.7,0.5,21.4,2.5,100.0,0.585404
251,78717,Austin,Travis County,Suburban,North,249601.59,2017,27764,13.8,54.6,3.7,0.4,24.6,2.9,100.0,0.6200979999999999
252,78721,Austin,Travis County,Urban,Central,121617.78,2011,11100,56.1,10.7,31.4,0.2,0.8,0.7,99.9,0.575117
253,78721,Austin,Travis County,Urban,Central,123029.69,2012,11178,52.5,11.1,33.6,0.3,0.7,1.8,100.0,0.598776
254,78721,Austin,Travis County,Urban,Central,124741.18,2013,11482,53.0,13.2,31.5,0.4,0.3,1.8,100.2,0.602102
255,78721,Austin,Travis County,Urban,Central,127717.13,2014,12087,52.0,15.0,30.1,0.6,0.7,1.7,100.1,0.616125
256,78721,Austin,Travis County,Urban,Central,131698.25,2015,12508,52.7,15.1,28.8,0.5,1.3,1.6,100.0,0.6160760000000001
257,78721,Austin,Travis County,Urban,Central,137316.25,2016,12153,47.7,19.6,29.1,0.2,1.4,2.1,100.1,0.648733
258,78721,Austin,Travis County,Urban,Central,144005.16,2017,12447,47.6,20.6,29.2,0.1,1.5,1.1,100.1,0.6453770000000001
259,78722,Austin,Travis County,Urban,Central,217041.11,2011,5733,21.3,60.5,13.0,0.6,2.4,2.2,100.0,0.5706100000000001
260,78722,Austin,Travis County,Urban,Central,220266.67,2012,5973,19.1,62.5,13.5,0.9,2.7,1.4,100.1,0.553663
261,78722,Austin,Travis County,Urban,Central,224072.06,2013,6355,20.1,63.7,10.1,0.6,4.3,1.1,99.9,0.541623
262,78722,Austin,Travis County,Urban,Central,229009.72,2014,6514,20.1,62.2,11.0,0.7,3.9,2.0,99.9,0.558645
263,78722,Austin,Travis County,Urban,Central,235786.4,2015,7006,16.5,62.9,12.1,0.0,5.0,3.5,100.0,0.558768
264,78722,Austin,Travis County,Urban,Central,242723.33,2016,7292,14.3,64.8,13.2,0.0,3.1,4.5,99.9,0.539237
265,78722,Austin,Travis County,Urban,Central,249907.54,2017,7254,13.4,67.6,11.6,0.0,3.0,4.4,100.0,0.508776
266,78723,Austin,Travis County,Urban,Central,171061.67,2011,29869,43.8,26.3,26.7,0.1,1.9,1.3,100.1,0.667167
267,78723,Austin,Travis County,Urban,Central,172898.96,2012,30999,45.5,27.8,23.4,0.1,1.8,1.4,100.0,0.6604140000000001
268,78723,Austin,Travis County,Urban,Central,176502.94,2013,31234,43.9,29.2,23.4,0.2,1.9,1.5,100.1,0.666669
269,78723,Austin,Travis County,Urban,Central,180617.59,2014,30955,43.4,30.4,22.3,0.2,1.8,1.8,99.9,0.6688470000000001
270,78723,Austin,Travis County,Urban,Central,185614.04,2015,32155,43.3,32.6,20.2,0.2,1.9,1.8,100.0,0.664742
271,78723,Austin,Travis County,Urban,Central,191850.83,2016,32496,42.4,35.6,18.7,0.2,1.7,1.4,100.0,0.65803
272,78723,Austin,Travis County,Urban,Central,198624.6,2017,33170,41.3,36.3,18.3,0.1,2.1,1.9,100.0,0.66337
273,78724,Austin,Travis County,Suburban,East,112418.33,2011,20447,60.0,9.0,30.2,0.3,0.0,0.6,100.1,0.540651
274,78724,Austin,Travis County,Suburban,East,112390.62,2012,21677,62.9,7.7,28.8,0.1,0.0,0.5,100.0,0.51546
275,78724,Austin,Travis County,Suburban,East,112513.73,2013,21454,63.3,8.3,26.7,0.1,0.5,1.1,100.0,0.520986
276,78724,Austin,Travis County,Suburban,East,113011.57,2014,23313,65.8,7.9,24.5,0.1,0.3,1.3,99.9,0.500591
277,78724,Austin,Travis County,Suburban,East,114273.25,2015,23612,67.3,8.0,22.7,0.0,0.3,1.7,100.0,0.48884399999999995
278,78724,Austin,Travis County,Suburban,East,116680.42,2016,24558,65.9,10.2,21.5,0.0,0.2,2.1,99.9,0.508645
279,78724,Austin,Travis County,Suburban,East,119683.73,2017,24833,66.1,10.5,20.7,0.1,0.3,2.4,100.1,0.5086189999999999
280,78725,Austin,Travis County,Suburban,East,118989.44,2011,6021,49.7,14.9,30.8,0.0,3.0,1.5,99.9,0.6348010000000001
281,78725,Austin,Travis County,Suburban,East,118809.38,2012,6477,46.0,16.6,34.7,0.0,0.0,2.7,100.0,0.639706
282,78725,Austin,Travis County,Suburban,East,118864.71,2013,8169,56.8,14.8,26.9,0.0,0.4,1.2,100.1,0.582951
283,78725,Austin,Travis County,Suburban,East,119367.59,2014,7612,38.3,19.1,40.0,0.0,0.5,2.0,99.9,0.656405
284,78725,Austin,Travis County,Suburban,East,120669.74,2015,7343,45.7,18.8,33.2,0.0,0.5,1.8,100.0,0.645234
285,78725,Austin,Travis County,Suburban,East,122887.5,2016,7931,51.4,21.0,24.9,0.0,0.8,1.9,100.0,0.629278
286,78725,Austin,Travis County,Suburban,East,125496.43,2017,7517,50.0,21.7,24.4,0.0,1.2,2.9,100.2,0.64239
287,78726,Austin,Travis County,Suburban,West,307951.67,2011,13198,16.6,66.0,3.3,0.6,11.8,1.6,99.9,0.5215390000000001
288,78726,Austin,Travis County,Suburban,West,308645.31,2012,12482,19.6,64.1,2.9,0.6,11.8,1.1,100.1,0.5357810000000001
289,78726,Austin,Travis County,Suburban,West,310099.02,2013,13181,17.9,64.6,3.7,0.4,12.5,0.8,99.9,0.533569
290,78726,Austin,Travis County,Suburban,West,313519.44,2014,12786,16.2,63.9,3.6,0.0,14.7,1.7,100.1,0.542241
291,78726,Austin,Travis County,Suburban,West,318168.42,2015,13027,19.2,55.8,4.9,0.0,17.9,2.1,99.9,0.616889
292,78726,Austin,Travis County,Suburban,West,323241.25,2016,13925,14.4,60.8,6.2,0.0,16.6,2.1,100.1,0.577759
293,78726,Austin,Travis County,Suburban,West,328536.9,2017,14610,14.1,58.7,6.4,0.0,17.9,3.0,100.1,0.598513
294,78727,Austin,Travis County,Suburban,North,174968.33,2011,28075,19.8,56.4,7.8,0.0,14.0,2.0,100.0,0.6166159999999999
295,78727,Austin,Travis County,Suburban,North,176027.08,2012,28461,20.0,55.5,8.0,0.0,14.3,2.2,100.0,0.624642
296,78727,Austin,Travis County,Suburban,North,177471.08,2013,28563,17.7,57.2,6.9,0.0,15.5,2.8,100.1,0.611917
297,78727,Austin,Travis County,Suburban,North,179881.02,2014,29506,17.8,54.3,6.5,0.5,17.4,3.6,100.1,0.637645
298,78727,Austin,Travis County,Suburban,North,183175.44,2015,29354,17.6,54.5,5.8,0.5,17.5,4.1,100.0,0.636304
299,78727,Austin,Travis County,Suburban,North,187452.5,2016,29085,17.8,54.0,6.5,0.5,17.6,3.7,100.1,0.640121
300,78727,Austin,Travis County,Suburban,North,192948.02,2017,28999,18.2,54.0,6.3,0.5,17.3,3.7,100.0,0.639984
301,78728,Austin,Travis County,Suburban,North,158528.89,2011,20232,27.5,43.6,14.4,0.6,10.8,3.0,99.9,0.700943
302,78728,Austin,Travis County,Suburban,North,159298.44,2012,20939,27.9,46.3,13.2,0.6,9.1,3.0,100.1,0.681149
303,78728,Austin,Travis County,Suburban,North,160558.82,2013,20817,25.9,44.6,16.3,0.7,8.9,3.6,100.0,0.698168
304,78728,Austin,Travis County,Suburban,North,162444.44,2014,20794,27.2,45.3,14.0,0.2,9.3,3.9,99.9,0.691033
305,78728,Austin,Travis County,Suburban,North,165320.61,2015,21081,23.6,46.4,17.5,0.3,8.6,3.5,99.9,0.689753
306,78728,Austin,Travis County,Suburban,North,168873.75,2016,21858,24.2,46.9,18.2,0.2,6.8,3.8,100.1,0.682279
307,78728,Austin,Travis County,Suburban,North,173048.02,2017,21245,28.8,41.2,17.9,0.3,8.3,3.5,100.0,0.707148
308,78729,Austin,Travis County,Suburban,North,177843.89,2011,27024,18.4,61.5,8.5,0.0,9.3,2.3,100.0,0.571516
309,78729,Austin,Travis County,Suburban,North,178451.56,2012,28228,16.8,61.4,9.8,0.0,9.6,2.4,100.0,0.575384
310,78729,Austin,Travis County,Suburban,North,179533.33,2013,26906,19.0,59.2,9.1,0.2,9.5,3.1,100.1,0.5951649999999999
311,78729,Austin,Travis County,Suburban,North,181362.04,2014,28786,19.7,58.2,10.3,0.1,8.1,3.5,99.9,0.604071
312,78729,Austin,Travis County,Suburban,North,184391.23,2015,29386,21.1,58.4,7.8,0.2,8.5,3.9,99.9,0.599589
313,78729,Austin,Travis County,Suburban,North,188136.25,2016,30151,23.3,58.2,6.2,0.2,8.0,4.0,99.9,0.5951390000000001
314,78729,Austin,Travis County,Suburban,North,192475.4,2017,29434,22.6,59.1,5.2,0.3,9.1,3.6,99.9,0.587353
315,78730,Austin,Travis County,Suburban,West,460247.78,2011,8242,5.0,78.3,2.6,0.0,11.6,2.5,100.0,0.369654
316,78730,Austin,Travis County,Suburban,West,460084.9,2012,8312,5.4,81.8,0.2,0.0,10.0,2.6,100.0,0.31728
317,78730,Austin,Travis County,Suburban,West,460748.04,2013,8916,7.1,84.2,0.3,0.0,6.4,1.9,99.9,0.281529
318,78730,Austin,Travis County,Suburban,West,462309.72,2014,8591,9.3,83.5,0.3,0.0,5.5,1.3,99.9,0.290923
319,78730,Austin,Travis County,Suburban,West,465688.6,2015,8871,8.2,83.5,0.0,0.0,5.3,3.1,100.1,0.292281
320,78730,Austin,Travis County,Suburban,West,471869.17,2016,9038,11.4,80.9,0.2,0.0,5.3,2.2,100.0,0.329226
321,78730,Austin,Travis County,Suburban,West,478117.46,2017,8933,12.6,77.4,0.9,0.0,4.6,4.5,100.0,0.380826
322,78731,Austin,Travis County,Suburban,West,390475.0,2011,24898,8.1,80.6,1.3,0.1,8.7,1.2,100.0,0.33592
323,78731,Austin,Travis County,Suburban,West,393008.33,2012,24716,8.9,78.8,1.9,0.0,8.9,1.4,99.9,0.362657
324,78731,Austin,Travis County,Suburban,West,396825.49,2013,25575,8.9,78.7,2.5,0.0,7.8,2.0,99.9,0.365601
325,78731,Austin,Travis County,Suburban,West,401113.43,2014,26412,10.3,76.7,2.8,0.0,7.8,2.4,100.0,0.393658
326,78731,Austin,Travis County,Suburban,West,405681.58,2015,26595,8.6,78.7,2.4,0.1,7.8,2.5,100.1,0.36594899999999997
327,78731,Austin,Travis County,Suburban,West,412121.67,2016,27401,9.9,77.6,2.9,0.1,7.0,2.5,100.0,0.381656
328,78731,Austin,Travis County,Suburban,West,418974.21,2017,27447,10.1,76.0,2.6,0.3,8.1,3.0,100.1,0.404053
329,78732,Austin,Travis County,Suburban,West,335676.11,2011,13389,9.0,77.2,1.5,0.3,9.8,2.2,100.0,0.385594
330,78732,Austin,Travis County,Suburban,West,338082.81,2012,14307,9.2,77.3,1.3,0.4,9.4,2.4,100.0,0.38441
331,78732,Austin,Travis County,Suburban,West,341041.18,2013,15097,8.2,79.2,1.0,0.6,8.7,2.2,99.9,0.357823
332,78732,Austin,Travis County,Suburban,West,345404.17,2014,15312,7.4,77.4,2.2,0.5,10.0,2.5,100.0,0.384314
333,78732,Austin,Travis County,Suburban,West,350473.25,2015,16269,9.1,77.0,1.0,0.1,10.0,2.8,100.0,0.387934
334,78732,Austin,Travis County,Suburban,West,355591.67,2016,16851,13.2,73.7,0.9,0.1,9.3,2.7,99.9,0.429947
335,78732,Austin,Travis County,Suburban,West,360558.33,2017,17762,11.0,75.4,0.7,0.0,11.6,1.4,100.1,0.405683
336,78733,Austin,Travis County,Suburban,West,418792.78,2011,9219,11.3,79.0,0.1,0.0,8.0,1.6,100.0,0.35647399999999996
337,78733,Austin,Travis County,Suburban,West,420215.62,2012,9486,7.7,80.3,0.0,0.0,9.9,2.2,100.1,0.338977
338,78733,Austin,Travis County,Suburban,West,422336.76,2013,9475,9.2,78.3,0.0,0.1,9.9,2.4,99.9,0.368069
339,78733,Austin,Travis County,Suburban,West,425406.94,2014,9404,9.1,75.8,0.0,0.1,11.9,3.1,100.0,0.402032
340,78733,Austin,Travis County,Suburban,West,429208.33,2015,8930,9.5,73.9,0.2,0.1,13.5,2.8,100.0,0.42583999999999994
341,78733,Austin,Travis County,Suburban,West,433884.17,2016,8886,8.5,74.4,0.2,0.1,14.3,2.5,100.0,0.41816000000000003
342,78733,Austin,Travis County,Suburban,West,439850.79,2017,8754,8.5,75.7,0.2,0.1,12.3,3.2,100.0,0.403568
343,78734,Lakeway,Travis County,Suburban,West,266543.33,2011,16729,15.8,80.7,0.2,0.6,2.4,0.4,100.1,0.323155
344,78734,Lakeway,Travis County,Suburban,West,267889.06,2012,17824,19.7,76.5,0.2,0.2,2.9,0.5,100.0,0.375092
345,78734,Lakeway,Travis County,Suburban,West,269976.47,2013,18290,20.3,75.3,0.4,0.2,3.3,0.6,100.1,0.390637
346,78734,Lakeway,Travis County,Suburban,West,272285.65,2014,18498,19.7,75.2,0.6,0.3,3.5,0.7,100.0,0.394368
347,78734,Lakeway,Travis County,Suburban,West,276287.72,2015,18948,18.5,75.2,0.8,0.3,3.7,1.5,100.0,0.398604
348,78734,Lakeway,Travis County,Suburban,West,280723.75,2016,18997,19.5,74.6,0.9,0.3,2.9,1.8,100.0,0.404204
349,78734,Lakeway,Travis County,Suburban,West,285479.76,2017,18722,15.7,77.9,1.3,0.2,2.5,2.4,100.0,0.367136
350,78735,Austin,Travis County,Suburban,West,364634.44,2011,16024,18.2,72.8,0.7,0.0,6.6,1.6,99.9,0.43223100000000003
351,78735,Austin,Travis County,Suburban,West,362669.79,2012,16882,19.7,71.2,1.0,0.0,5.8,2.1,99.8,0.450342
352,78735,Austin,Travis County,Suburban,West,363291.67,2013,17118,15.7,73.9,1.1,0.0,7.6,1.6,99.9,0.42307700000000004
353,78735,Austin,Travis County,Suburban,West,365702.31,2014,17548,17.6,73.7,0.8,0.1,6.5,1.3,100.0,0.421396
354,78735,Austin,Travis County,Suburban,West,369179.39,2015,17438,16.2,74.8,1.3,0.1,6.2,1.5,100.1,0.410013
355,78735,Austin,Travis County,Suburban,West,373470.42,2016,16948,17.4,71.5,2.3,0.1,7.2,1.5,100.0,0.45256
356,78735,Austin,Travis County,Suburban,West,377623.41,2017,17919,18.8,69.8,2.1,0.1,7.8,1.5,100.1,0.47070100000000004
357,78736,Austin,Travis County,Suburban,West,197620.56,2011,6599,17.8,75.1,0.2,0.0,5.3,1.7,100.1,0.401213
358,78736,Austin,Travis County,Suburban,West,198730.21,2012,6841,17.1,74.5,0.2,0.0,6.1,2.1,100.0,0.41156800000000004
359,78736,Austin,Travis County,Suburban,West,200600.49,2013,6599,15.9,75.7,0.5,0.0,6.5,1.5,100.1,0.39719499999999996
360,78736,Austin,Travis County,Suburban,West,203357.41,2014,7030,18.6,74.1,0.5,0.0,5.2,1.5,99.9,0.413369
361,78736,Austin,Travis County,Suburban,West,207178.95,2015,7621,18.5,75.1,0.5,0.0,3.1,2.7,99.9,0.400059
362,78736,Austin,Travis County,Suburban,West,212116.25,2016,7951,15.2,75.6,0.6,0.2,5.8,2.6,100.0,0.40128
363,78736,Austin,Travis County,Suburban,West,217866.67,2017,8199,15.0,77.6,0.5,0.2,4.2,2.7,100.2,0.372802
364,78737,Austin,Travis County,Suburban,South,287588.33,2011,12458,10.1,84.1,1.2,0.8,3.1,0.7,100.0,0.2813
365,78737,Austin,Travis County,Suburban,South,288884.38,2012,12882,12.7,81.4,1.2,0.8,3.1,0.8,100.0,0.320042
366,78737,Austin,Travis County,Suburban,South,290747.06,2013,13539,15.5,79.4,1.3,0.0,2.9,0.9,100.0,0.344448
367,78737,Austin,Travis County,Suburban,South,294056.02,2014,14167,14.8,79.0,1.1,0.0,3.4,1.6,99.9,0.352463
368,78737,Austin,Travis County,Suburban,South,298221.49,2015,14544,17.6,76.5,0.9,0.0,3.6,1.4,100.0,0.382226
369,78737,Austin,Travis County,Suburban,South,303225.0,2016,14731,13.6,80.7,1.4,0.0,2.9,1.5,100.1,0.328993
370,78737,Austin,Travis County,Suburban,South,308924.6,2017,15879,14.2,78.1,1.5,0.0,3.0,3.1,99.9,0.367789
371,78738,Bee Cave,Travis County,Suburban,West,393006.67,2011,11504,8.1,84.3,0.3,0.3,5.2,1.7,99.9,0.279779
372,78738,Bee Cave,Travis County,Suburban,West,394086.46,2012,12457,9.2,81.1,0.3,0.1,7.7,1.6,100.0,0.32761999999999997
373,78738,Bee Cave,Travis County,Suburban,West,396531.37,2013,13141,10.0,79.4,1.2,0.1,7.2,2.0,99.9,0.353835
374,78738,Bee Cave,Travis County,Suburban,West,399975.93,2014,13794,12.0,77.2,1.4,0.1,7.5,1.9,100.1,0.38343299999999997
375,78738,Bee Cave,Travis County,Suburban,West,403696.49,2015,14795,12.2,76.8,0.9,0.1,7.4,2.6,100.0,0.389058
376,78738,Bee Cave,Travis County,Suburban,West,407326.25,2016,14970,10.1,77.8,1.4,0.0,8.6,2.1,100.0,0.37648200000000004
377,78738,Bee Cave,Travis County,Suburban,West,410821.43,2017,15746,9.9,77.7,1.3,0.0,9.1,1.9,99.9,0.377659
378,78739,Austin,Travis County,Suburban,South,315453.33,2011,15957,16.3,71.2,1.7,0.3,6.8,3.7,100.0,0.460196
379,78739,Austin,Travis County,Suburban,South,315638.02,2012,16911,15.0,71.4,1.1,0.6,7.1,4.9,100.1,0.46010500000000004
380,78739,Austin,Travis County,Suburban,South,317660.29,2013,17198,15.8,70.3,0.8,0.6,6.6,5.9,100.0,0.47289
381,78739,Austin,Travis County,Suburban,South,321309.72,2014,18068,15.7,69.8,0.6,0.6,8.4,4.8,99.9,0.47871499999999995
382,78739,Austin,Travis County,Suburban,South,325612.72,2015,18442,16.2,69.1,1.0,0.6,8.6,4.5,100.0,0.48671800000000004
383,78739,Austin,Travis County,Suburban,South,330684.17,2016,19564,14.0,71.8,1.7,0.3,9.5,2.7,100.0,0.45482399999999995
384,78739,Austin,Travis County,Suburban,South,335957.94,2017,20191,14.5,70.9,1.9,0.0,9.9,2.8,100.0,0.465348
385,78741,Austin,Travis County,Urban,Central,117724.44,2011,46959,64.7,19.9,9.5,0.0,4.3,1.6,100.0,0.53066
386,78741,Austin,Travis County,Urban,Central,118576.56,2012,48246,61.9,22.0,9.2,0.0,4.8,2.0,99.9,0.557271
387,78741,Austin,Travis County,Urban,Central,119557.35,2013,48654,62.8,21.4,9.7,0.0,3.8,2.3,100.0,0.548438
388,78741,Austin,Travis County,Urban,Central,120854.63,2014,51274,60.8,23.8,9.1,0.0,3.7,2.6,100.0,0.563366
389,78741,Austin,Travis County,Urban,Central,122928.07,2015,51770,58.3,25.1,10.5,0.0,3.6,2.5,100.0,0.584164
390,78741,Austin,Travis County,Urban,Central,126678.75,2016,51981,55.8,27.0,10.0,0.1,4.7,2.5,100.1,0.602901
391,78741,Austin,Travis County,Urban,Central,130867.86,2017,52307,54.5,27.1,11.3,0.1,4.4,2.7,100.1,0.614099
392,78744,Austin,Travis County,Suburban,South,102343.33,2011,41593,76.3,14.6,7.8,0.0,0.5,0.7,99.9,0.390357
393,78744,Austin,Travis County,Suburban,South,102603.12,2012,43452,76.7,14.4,7.2,0.0,0.4,1.1,99.8,0.385654
394,78744,Austin,Travis County,Suburban,South,103205.88,2013,44375,76.1,14.9,7.3,0.1,0.4,1.2,100.0,0.39318800000000004
395,78744,Austin,Travis County,Suburban,South,104247.69,2014,45830,76.2,15.7,6.7,0.1,0.3,0.9,99.9,0.390127
396,78744,Austin,Travis County,Suburban,South,106060.53,2015,46408,75.9,15.9,6.5,0.1,0.6,1.1,100.1,0.394255
397,78744,Austin,Travis County,Suburban,South,108625.83,2016,47211,75.1,16.0,7.0,0.1,0.6,1.1,99.9,0.405341
398,78744,Austin,Travis County,Suburban,South,111934.52,2017,48432,75.6,15.9,6.6,0.1,0.9,0.9,100.0,0.39866399999999996
399,78745,Austin,Travis County,Suburban,South,152910.56,2011,55010,43.2,50.0,3.3,0.4,1.6,1.5,100.0,0.56179
400,78745,Austin,Travis County,Suburban,South,154148.44,2012,54917,39.9,52.7,3.9,0.4,1.6,1.6,100.1,0.561021
401,78745,Austin,Travis County,Suburban,South,156022.55,2013,57559,40.4,51.5,4.3,0.5,1.4,1.8,99.9,0.5691649999999999
402,78745,Austin,Travis County,Suburban,South,158441.2,2014,58878,39.5,52.1,4.5,0.3,1.6,1.8,99.8,0.56992
403,78745,Austin,Travis County,Suburban,South,161986.84,2015,59758,38.5,51.8,4.9,0.3,2.3,2.3,100.1,0.579983
404,78745,Austin,Travis County,Suburban,South,166688.75,2016,61317,41.0,49.7,4.8,0.2,2.3,1.9,99.9,0.581693
405,78745,Austin,Travis County,Suburban,South,172253.17,2017,62220,40.3,50.4,4.6,0.1,2.6,2.0,100.0,0.580382
406,78746,Austin,Travis County,Suburban,West,554360.56,2011,26677,6.3,85.8,0.7,0.1,5.3,1.7,99.9,0.25671900000000003
407,78746,Austin,Travis County,Suburban,West,556767.19,2012,26939,7.8,82.5,0.6,0.1,7.2,1.9,100.1,0.307709
408,78746,Austin,Travis County,Suburban,West,561798.04,2013,27506,8.5,80.4,0.7,0.1,7.7,2.6,100.0,0.339704
409,78746,Austin,Travis County,Suburban,West,569350.46,2014,27960,10.5,78.3,0.6,0.1,8.2,2.4,100.1,0.36854899999999996
410,78746,Austin,Travis County,Suburban,West,577975.0,2015,27928,10.2,78.0,0.8,0.0,8.5,2.4,99.9,0.37333099999999997
411,78746,Austin,Travis County,Suburban,West,588975.42,2016,27971,11.2,77.7,0.6,0.1,8.0,2.5,100.1,0.376665
412,78746,Austin,Travis County,Suburban,West,601979.76,2017,28268,12.6,76.3,0.7,0.1,8.0,2.5,100.2,0.39488
