,Zip,City,County,Type,Area,Value,Year,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index
46,78619,Driftwood,Hays County,Rural,South,348226.32,2015,3824,11.4,88.0,0.2,0.0,0.4,0.0,100.0,0.21258400000000002
47,78619,Driftwood,Hays County,Rural,South,354105.0,2016,3585,11.0,87.1,0.3,0.0,0.9,0.6,99.9,0.229133
48,78619,Driftwood,Hays County,Rural,South,359766.27,2017,4124,12.6,81.5,0.3,4.2,0.8,0.6,100.0,0.31802600000000003
49,78620,Dripping Springs,Hays County,Rural,South,254146.67,2011,14578,13.8,82.3,1.3,0.6,1.0,1.0,100.0,0.303222
50,78620,Dripping Springs,Hays County,Rural,South,255690.62,2012,14483,12.0,85.4,0.7,0.4,0.7,0.8,100.0,0.256106
51,78620,Dripping Springs,Hays County,Rural,South,257525.0,2013,14660,12.0,84.9,0.5,0.5,0.5,1.6,100.0,0.264468
52,78620,Dripping Springs,Hays County,Rural,South,260495.83,2014,14104,12.1,84.4,0.3,0.4,0.5,2.3,100.0,0.272444
53,78620,Dripping Springs,Hays County,Rural,South,264591.67,2015,14614,12.4,85.0,0.3,0.1,0.7,1.5,100.0,0.26184
54,78620,Dripping Springs,Hays County,Rural,South,270367.92,2016,15140,13.0,84.7,0.2,0.1,0.5,1.5,100.0,0.265436
55,78620,Dripping Springs,Hays County,Rural,South,276838.1,2017,15452,16.8,79.9,0.5,0.2,0.7,2.0,100.1,0.332897
56,78621,Elgin,Bastrop County,Rural,East,111208.33,2011,22273,37.8,46.5,11.5,0.2,0.5,3.4,99.9,0.6264810000000001
57,78621,Elgin,Bastrop County,Rural,East,111364.58,2012,21352,37.5,48.8,10.4,0.2,0.5,2.7,100.1,0.609657
58,78621,Elgin,Bastrop County,Rural,East,111510.29,2013,21863,38.1,50.0,9.0,0.1,0.5,2.2,99.9,0.596229
59,78621,Elgin,Bastrop County,Rural,East,112120.37,2014,22289,37.7,50.1,8.3,0.1,0.5,3.2,99.9,0.598931
60,78621,Elgin,Bastrop County,Rural,East,113278.07,2015,21735,38.9,50.0,8.5,0.0,0.7,1.9,100.0,0.591044
61,78621,Elgin,Bastrop County,Rural,East,115032.08,2016,22185,38.4,48.6,11.0,0.0,0.5,1.5,100.0,0.6039979999999999
62,78621,Elgin,Bastrop County,Rural,East,117398.81,2017,22261,39.2,46.2,12.5,0.0,0.4,1.7,100.0,0.616962
63,78626,Georgetown,Williamson County,Suburban,North,146210.56,2011,27211,40.4,52.6,4.6,0.1,1.0,1.3,100.0,0.557722
64,78626,Georgetown,Williamson County,Suburban,North,146435.42,2012,27412,39.4,53.2,5.3,0.1,0.7,1.4,100.1,0.558685
65,78626,Georgetown,Williamson County,Suburban,North,146811.27,2013,27346,38.4,55.0,4.3,0.0,0.9,1.4,100.0,0.547918
66,78626,Georgetown,Williamson County,Suburban,North,148042.59,2014,28092,39.5,54.2,3.8,0.1,0.9,1.5,100.0,0.5484600000000001
67,78626,Georgetown,Williamson County,Suburban,North,149907.89,2015,28876,34.4,58.5,4.1,0.0,1.1,1.8,99.9,0.537313
68,78626,Georgetown,Williamson County,Suburban,North,152535.83,2016,30163,35.3,58.5,3.8,0.0,1.1,1.4,100.1,0.531405
69,78626,Georgetown,Williamson County,Suburban,North,155823.02,2017,32529,33.0,58.9,5.6,0.0,1.1,1.4,100.0,0.540726
70,78628,Georgetown,Williamson County,Suburban,North,205372.78,2011,23269,16.8,77.6,2.3,0.0,1.4,1.9,100.0,0.368514
71,78628,Georgetown,Williamson County,Suburban,North,206577.08,2012,23288,17.7,77.5,2.4,0.0,1.2,1.3,100.1,0.367157
72,78628,Georgetown,Williamson County,Suburban,North,208377.45,2013,24603,17.1,78.2,2.3,0.0,1.1,1.3,100.0,0.358416
73,78628,Georgetown,Williamson County,Suburban,North,210742.13,2014,24856,15.4,79.4,3.4,0.0,0.6,1.2,100.0,0.344512
74,78628,Georgetown,Williamson County,Suburban,North,213759.65,2015,26544,13.5,79.8,4.0,0.0,0.9,1.8,100.0,0.342966
75,78628,Georgetown,Williamson County,Suburban,North,217742.92,2016,27637,15.1,80.1,2.7,0.0,0.9,1.2,100.0,0.334644
76,78628,Georgetown,Williamson County,Suburban,North,221893.25,2017,30322,15.1,78.9,2.4,0.2,0.8,2.6,100.0,0.353358
77,78633,Georgetown,Williamson County,Suburban,North,209279.44,2011,17181,5.3,93.2,0.3,0.3,0.6,0.3,100.0,0.128504
78,78633,Georgetown,Williamson County,Suburban,North,209988.54,2012,17556,4.7,93.2,0.6,0.4,0.6,0.4,99.9,0.129063
79,78633,Georgetown,Williamson County,Suburban,North,211386.76,2013,18462,4.8,92.4,0.7,0.4,1.3,0.3,99.9,0.143677
80,78633,Georgetown,Williamson County,Suburban,North,214051.39,2014,19593,5.0,92.0,0.8,0.5,1.2,0.3,99.8,0.150858
81,78633,Georgetown,Williamson County,Suburban,North,217566.67,2015,21980,4.5,92.4,1.0,0.3,1.4,0.4,100.0,0.143878
